Wall time,Step,Value
1735474829,1,0.020139687
1735474834,11,0.654381454
1735474839,21,0.649920344
1735474844,31,0.615487337
1735474849,41,0.669802845
1735474854,51,0.613086164
1735474859,61,0.627118647
1735474865,71,0.641702831
1735474870,81,0.613233387
1735474875,91,0.586049795
1735474880,101,0.584774137
1735474885,111,0.65955317
1735474891,121,0.602805197
1735474896,131,0.638359606
1735474902,141,0.613075197
1735474907,151,0.648267031
1735474912,161,0.629436851
1735474918,171,0.647179782
1735474923,181,0.622288942
1735474928,191,0.630674362
1735474933,201,0.665634155
1735474938,211,0.592358112
1735474943,221,0.596354008
1735474948,231,0.579293966
1735474954,241,0.670114815
1735474959,251,0.640440047
1735474964,261,0.627750993
1735474969,271,0.597552121
1735474974,281,0.6191293
1735474979,291,0.64872551
1735474984,301,0.674892545
1735474990,311,0.657738447
1735474995,321,0.645286918
1735475000,331,0.620010316
1735475005,341,0.628781617
1735475010,351,0.577595294
1735475015,361,0.671978652
1735475020,371,0.639371276
1735475026,381,0.652598977
1735475031,391,0.61224395
1735475036,401,0.640051007
1735475041,411,0.624906719
1735475046,421,0.666558862
1735475051,431,0.688115716
1735475056,441,0.617259681
1735475061,451,0.648697138
1735475067,461,0.640513361
1735475072,471,0.646252096
1735475077,481,0.607321203
1735475082,491,0.607800782
1735475087,501,0.62635833
1735475093,511,0.612163723
1735475098,521,0.680936277
1735475103,531,0.649348259
1735475108,541,0.608414412
1735475113,551,0.674459159
1735475118,561,0.648003519
1735475123,571,0.601495981
1735475128,581,0.67475754
1735475134,591,0.653352439
1735475139,601,0.6725595
1735475144,611,0.669848919
1735475149,621,0.635093153
1735475155,631,0.600439548
1735475160,641,0.655838132
1735475165,651,0.635042489
1735475170,661,0.639386833
1735475175,671,0.628355682
1735475181,681,0.632501543
1735475186,691,0.647397339
1735475191,701,0.649091005
1735475196,711,0.634450436
1735475202,721,0.664998591
1735475207,731,0.645522416
1735475212,741,0.584015787
1735475217,751,0.641000628
1735475222,761,0.632095754
1735475227,771,0.654812813
1735475233,781,0.653816223
1735475238,791,0.634122014
1735475243,801,0.645959258
1735475248,811,0.650420547
1735475253,821,0.67475158
1735475259,831,0.643652678
1735475264,841,0.678319812
1735475269,851,0.63912338
1735475274,861,0.602108657
1735475279,871,0.647788763
1735475284,881,0.660397112
1735475289,891,0.683190107
1735475295,901,0.614745736
1735475300,911,0.643034399
1735475305,921,0.653690517
1735475310,931,0.642274618
1735475316,941,0.668979108
1735475321,951,0.614406347
1735475326,961,0.642903566
1735475331,971,0.636707962
1735475336,981,0.654610038
1735475341,991,0.649366081
1735475347,1001,0.66086185
1735475352,1011,0.666911304
1735475357,1021,0.637131274
1735475362,1031,0.677462876
1735475367,1041,0.649755001
1735475372,1051,0.669075072
1735475378,1061,0.660639048
1735475383,1071,0.643364489
1735475388,1081,0.650425792
1735475393,1091,0.610933661
1735475398,1101,0.6641379
1735475403,1111,0.658834636
1735475409,1121,0.654423773
1735475414,1131,0.631550252
1735475419,1141,0.693781912
1735475424,1151,0.660286307
1735475429,1161,0.666289151
1735475434,1171,0.675981581
1735475440,1181,0.662703753
1735475445,1191,0.649916649
1735475450,1201,0.649151862
1735475455,1211,0.672181487
1735475460,1221,0.664334834
1735475465,1231,0.616765261
1735475471,1241,0.660558701
1735475476,1251,0.654101968
1735475481,1261,0.616501987
1735475486,1271,0.66008532
1735475491,1281,0.665593088
1735475497,1291,0.625415981
1735475502,1301,0.659093142
1735475507,1311,0.635337889
1735475512,1321,0.655457139
1735475517,1331,0.669765472
1735475523,1341,0.649435222
1735475528,1351,0.626195192
1735475533,1361,0.656519175
1735475538,1371,0.701993227
1735475543,1381,0.609553635
1735475548,1391,0.674506068
1735475554,1401,0.668494046
1735475559,1411,0.609503508
1735475564,1421,0.660806298
1735475569,1431,0.68709296
1735475575,1441,0.655617535
1735475580,1451,0.64126271
1735475585,1461,0.666347027
1735475590,1471,0.670174778
1735475595,1481,0.627288401
1735475600,1491,0.654561996
1735475606,1501,0.612405717
1735475611,1511,0.642728806
1735475616,1521,0.656556845
1735475621,1531,0.671272635
1735475626,1541,0.659938812
1735475631,1551,0.621961832
1735475636,1561,0.65861553
1735475642,1571,0.673707068
